VEP_Site_Name,VEP_Trinomial,VEP_LA_number,Boc_Site_Name,Boc_Site_Number,Boc_SiteID,Canon_Site_Name,Canon_Trinomial,Canon_LA_Number,Canon_SiteID,Aliases,Study Area,GIVE UP!,Comment,Canon Complete?
,5MT2400,,,,,,5MT2400,,,,CMV,,,Yes
,5MT2401,,,,,,5MT2401,,,,CMV,,,Yes
,5MT2402,,,,,,5MT2402,,,,CMV,,,Yes
,5MT2406,,,,,,5MT2406,,,,CMV,,,Yes
,5MT241,,,,,,5MT241,,,,CMV,,,Yes
,5MT2410,,,,,,5MT2410,,,,CMV,,,Yes
,5MT2411,,,,,,5MT2411,,,,CMV,,,Yes
,5MT2414,,,,,,5MT2414,,,,CMV,,,Yes
,5MT2415,,,,,,5MT2415,,,,CMV,,,Yes
,5MT2416,,,,,,5MT2416,,,,CMV,,,Yes
,5MT2421,,,,,,5MT2421,,,,CMV,,,Yes
,5MT2423,,,,,,5MT2423,,,,CMV,,,Yes
,5MT2424,,,,,,5MT2424,,,,CMV,,,Yes
,5MT2425,,,,,,5MT2425,,,,CMV,,,Yes
,5MT2427,,,,,,5MT2427,,,,CMV,,,Yes
,5MT2428,,,,,,5MT2428,,,,CMV,,,Yes
,5MT2430,,,,,,5MT2430,,,,CMV,,,Yes
,5MT2431,,,,,,5MT2431,,,,CMV,,,Yes
,5MT2434,,,,,,5MT2434,,,,CMV,,,Yes
,5MT2435,,,,,,5MT2435,,,,CMV,,,Yes
,5MT2436,,,,,,5MT2436,,,,CMV,,,Yes
,5MT2437,,,,,,5MT2437,,,,CMV,,,Yes
,5MT244,,,,,,5MT244,,,,CMV,,,Yes
,5MT2441,,,,,,5MT2441,,,,CMV,,,Yes
,5MT2450,,,,,,5MT2450,,,,CMV,,,Yes
,5MT2458,,,,,,5MT2458,,,,CMV,,,Yes
,5MT2461,,,,,,5MT2461,,,,CMV,,,Yes
,5MT2463,,,,,,5MT2463,,,,CMV,,,Yes
,5MT2464,,,,,,5MT2464,,,,CMV,,,Yes
,5MT2465,,,,,,5MT2465,,,,CMV,,,Yes
,5MT2468,,,,,,5MT2468,,,,CMV,,,Yes
,5MT2470,,,,,,5MT2470,,,,CMV,,,Yes
,5MT2472,,,,,,5MT2472,,,,CMV,,,Yes
,5MT2473,,,,,,5MT2473,,,,CMV,,,Yes
,5MT2474,,,,,,5MT2474,,,,CMV,,,Yes
,5MT2479,,,,,,5MT2479,,,,CMV,,,Yes
,5MT248,,,,,,5MT248,,,,CMV,,,Yes
,5MT2480,,,,,,5MT2480,,,,CMV,,,Yes
,5MT2482,,,,,,5MT2482,,,,CMV,,,Yes
,5MT2487,,,,,,5MT2487,,,,CMV,,,Yes
,5MT2488,,,,,,5MT2488,,,,CMV,,,Yes
,5MT249,,,,,,5MT249,,,,CMV,,,Yes
,5MT2490,,,,,,5MT2490,,,,CMV,,,Yes
,5MT2491,,,,,,5MT2491,,,,CMV,,,Yes
,5MT2492,,,,,,5MT2492,,,,CMV,,,Yes
,5MT2494,,,,,,5MT2494,,,,CMV,,,Yes
,5MT2495,,,,,,5MT2495,,,,CMV,,,Yes
,5MT2496,,,,,,5MT2496,,,,CMV,,,Yes
,5MT2497,,,,,,5MT2497,,,,CMV,,,Yes
,5MT2500,,,,,,5MT2500,,,,CMV,,,Yes
,5MT2501,,,,,,5MT2501,,,,CMV,,,Yes
,5MT2504,,,,,,5MT2504,,,,CMV,,,Yes
,5MT2508,,,,,,5MT2508,,,,CMV,,,Yes
,5MT2509,,,,,,5MT2509,,,,CMV,,,Yes
,5MT2510,,,,,,5MT2510,,,,CMV,,,Yes
,5MT2511,,,,,,5MT2511,,,,CMV,,,Yes
,5MT2512,,,,,,5MT2512,,,,CMV,,,Yes
,5MT2515,,,,,,5MT2515,,,,CMV,,,Yes
,5MT2517,,,,,,5MT2517,,,,CMV,,,Yes
,5MT2518,,,,,,5MT2518,,,,CMV,,,Yes
,5MT252,,,,,,5MT252,,,,CMV,,,Yes
,5MT2520,,,,,,5MT2520,,,,CMV,,,Yes
,5MT2521,,,,,,5MT2521,,,,CMV,,,Yes
,5MT2523,,,,,,5MT2523,,,,CMV,,,Yes
,5MT2528,,,,,,5MT2528,,,,CMV,,,Yes
,5MT2529,,,,,,5MT2529,,,,CMV,,,Yes
,5MT253,,,,,,5MT253,,,,CMV,,,Yes
,5MT2530,,,,,,5MT2530,,,,CMV,,,Yes
,5MT2532,,,,,,5MT2532,,,,CMV,,,Yes
,5MT2537,,,,,,5MT2537,,,,CMV,,,Yes
,5MT254,,,,,,5MT254,,,,CMV,,,Yes
,5MT2540,,,,,,5MT2540,,,,CMV,,,Yes
,5MT2541,,,,,,5MT2541,,,,CMV,,,Yes
,5MT2542,,,,,,5MT2542,,,,CMV,,,Yes
,5MT2543,,,,,,5MT2543,,,,CMV,,,Yes
,5MT2547,,,,,,5MT2547,,,,CMV,,,Yes
,5MT2548,,,,,,5MT2548,,,,CMV,,,Yes
,5MT2549,,,,,,5MT2549,,,,CMV,,,Yes
,5MT255,,,,,,5MT255,,,,CMV,,,Yes
,5MT2550,,,,,,5MT2550,,,,CMV,,,Yes
,5MT2551,,,,,,5MT2551,,,,CMV,,,Yes
,5MT2552,,,,,,5MT2552,,,,CMV,,,Yes
,5MT2554,,,,,,5MT2554,,,,CMV,,,Yes
,5MT2556,,,,,,5MT2556,,,,CMV,,,Yes
,5MT256,,,,,,5MT256,,,,CMV,,,Yes
,5MT2560,,,,,,5MT2560,,,,CMV,,,Yes
,5MT2561,,,,,,5MT2561,,,,CMV,,,Yes
,5MT2566,,,,,,5MT2566,,,,CMV,,,Yes
,5MT2569,,,,,,5MT2569,,,,CMV,,,Yes
,5MT2572,,,,,,5MT2572,,,,CMV,,,Yes
,5MT2574,,,,,,5MT2574,,,,CMV,,,Yes
,5MT2576,,,,,,5MT2576,,,,CMV,,,Yes
,5MT258,,,,,,5MT258,,,,CMV,,,Yes
,5MT2584,,,,,,5MT2584,,,,CMV,,,Yes
,5MT2586,,,,,,5MT2586,,,,CMV,,,Yes
,5MT259,,,,,,5MT259,,,,CMV,,,Yes
,5MT2590,,,,,,5MT2590,,,,CMV,,,Yes
,5MT2591,,,,,,5MT2591,,,,CMV,,,Yes
,5MT2594,,,,,,5MT2594,,,,CMV,,,Yes
,5MT2599,,,,,,5MT2599,,,,CMV,,,Yes
,5MT260,,,,,,5MT260,,,,CMV,,,Yes
,5MT2600,,,,,,5MT2600,,,,CMV,,,Yes
,5MT2603,,,,,,5MT2603,,,,CMV,,,Yes
,5MT2604,,,,,,5MT2604,,,,CMV,,,Yes
,5MT2605,,,,,,5MT2605,,,,CMV,,,Yes
,5MT2606,,,,,,5MT2606,,,,CMV,,,Yes
,5MT2607,,,,,,5MT2607,,,,CMV,,,Yes
,5MT2609,,,,,,5MT2609,,,,CMV,,,Yes
,5MT2613,,,,,,5MT2613,,,,CMV,,,Yes
,5MT2614,,,,,,5MT2614,,,,CMV,,,Yes
,5MT2615,,,,,,5MT2615,,,,CMV,,,Yes
,5MT2616,,,,,,5MT2616,,,,CMV,,,Yes
,5MT2618,,,,,,5MT2618,,,,CMV,,,Yes
,5MT2619,,,,,,5MT2619,,,,CMV,,,Yes
,5MT2620,,,,,,5MT2620,,,,CMV,,,Yes
,5MT2621,,,,,,5MT2621,,,,CMV,,,Yes
,5MT2622,,,,,,5MT2622,,,,CMV,,,Yes
,5MT2624,,,,,,5MT2624,,,,CMV,,,Yes
,5MT2625,,,,,,5MT2625,,,,CMV,,,Yes
,5MT2626,,,,,,5MT2626,,,,CMV,,,Yes
,5MT2628,,,,,,5MT2628,,,,CMV,,,Yes
,5MT2631,,,,,,5MT2631,,,,CMV,,,Yes
,5MT2633,,,,,,5MT2633,,,,CMV,,,Yes
,5MT2635,,,,,,5MT2635,,,,CMV,,,Yes
,5MT2636,,,,,,5MT2636,,,,CMV,,,Yes
,5MT2637,,,,,,5MT2637,,,,CMV,,,Yes
,5MT2639,,,,,,5MT2639,,,,CMV,,,Yes
,5MT2642,,,,,,5MT2642,,,,CMV,,,Yes
,5MT2644,,,,,,5MT2644,,,,CMV,,,Yes
,5MT2649,,,,,,5MT2649,,,,CMV,,,Yes
,5MT265,,,,,,5MT265,,,,CMV,,,Yes
,5MT2650,,,,,,5MT2650,,,,CMV,,,Yes
,5MT266,,,,,,5MT266,,,,CMV,,,Yes
,5MT2661,,,,,,5MT2661,,,,CMV,,,Yes
,5MT2664,,,,,,5MT2664,,,,CMV,,,Yes
,5MT2666,,,,,,5MT2666,,,,CMV,,,Yes
,5MT2673,,,,,,5MT2673,,,,CMV,,,Yes
,5MT2674,,,,,,5MT2674,,,,CMV,,,Yes
,5MT2677,,,,,,5MT2677,,,,CMV,,,Yes
,5MT2678,,,,,,5MT2678,,,,CMV,,,Yes
,5MT268,,,,,,5MT268,,,,CMV,,,Yes
,5MT2681,,,,,,5MT2681,,,,CMV,,,Yes
,5MT2682,,,,,,5MT2682,,,,CMV,,,Yes
,5MT2685,,,,,,5MT2685,,,,CMV,,,Yes
,5MT2686,,,,,,5MT2686,,,,CMV,,,Yes
,5MT2688,,,,,,5MT2688,,,,CMV,,,Yes
,5MT269,,,,,,5MT269,,,,CMV,,,Yes
,5MT2690,,,,,,5MT2690,,,,CMV,,,Yes
,5MT2694,,,,,,5MT2694,,,,CMV,,,Yes
,5MT2696,,,,,,5MT2696,,,,CMV,,,Yes
,5MT270,,,,,,5MT270,,,,CMV,,,Yes
,5MT2700,,,,,,5MT2700,,,,CMV,,,Yes
,5MT2704,,,,,,5MT2704,,,,CMV,,,Yes
,5MT2717,,,,,,5MT2717,,,,CMV,,,Yes
,5MT2719,,,,,,5MT2719,,,,CMV,,,Yes
,5MT272,,,,,,5MT272,,,,CMV,,,Yes
,5MT2720,,,,,,5MT2720,,,,CMV,,,Yes
,5MT2723,,,,,,5MT2723,,,,CMV,,,Yes
,5MT2725,,,,,,5MT2725,,,,CMV,,,Yes
,5MT2727,,,,,,5MT2727,,,,CMV,,,Yes
,5MT273,,,,,,5MT273,,,,CMV,,,Yes
,5MT2733,,,,,,5MT2733,,,,CMV,,,Yes
,5MT2735,,,,,,5MT2735,,,,CMV,,,Yes
,5MT2737,,,,,,5MT2737,,,,CMV,,,Yes
,5MT2739,,,,,,5MT2739,,,,CMV,,,Yes
,5MT274,,,,,,5MT274,,,,CMV,,,Yes
,5MT2743,,,,,,5MT2743,,,,CMV,,,Yes
,5MT2748,,,,,,5MT2748,,,,CMV,,,Yes
,5MT2749,,,,,,5MT2749,,,,CMV,,,Yes
,5MT275,,,,,,5MT275,,,,CMV,,,Yes
,5MT2761,,,,,,5MT2761,,,,CMV,,,Yes
,5MT2764,,,,,,5MT2764,,,,CMV,,,Yes
,5MT2766,,,,,,5MT2766,,,,CMV,,,Yes
,5MT277,,,,,,5MT277,,,,CMV,,,Yes
,5MT2770,,,,,,5MT2770,,,,CMV,,,Yes
,5MT2772,,,,,,5MT2772,,,,CMV,,,Yes
,5MT2773,,,,,,5MT2773,,,,CMV,,,Yes
,5MT2774,,,,,,5MT2774,,,,CMV,,,Yes
,5MT278,,,,,,5MT278,,,,CMV,,,Yes
,5MT279,,,,,,5MT279,,,,CMV,,,Yes
,5MT2797,,,,,,5MT2797,,,,CMV,,,Yes
,5MT280,,,,,,5MT280,,,,CMV,,,Yes
,5MT2801,,,,,,5MT2801,,,,CMV,,,Yes
,5MT2802,,,,,,5MT2802,,,,CMV,,,Yes
,5MT2804,,,,,,5MT2804,,,,CMV,,,Yes
,5MT2806,,,,,,5MT2806,,,,CMV,,,Yes
,5MT2807,,,,,,5MT2807,,,,CMV,,,Yes
,5MT2808,,,,,,5MT2808,,,,CMV,,,Yes
,5MT281,,,,,,5MT281,,,,CMV,,,Yes
,5MT2813,,,,,,5MT2813,,,,CMV,,,Yes
,5MT2815,,,,,,5MT2815,,,,CMV,,,Yes
,5MT2817,,,,,,5MT2817,,,,CMV,,,Yes
,5MT2819,,,,,,5MT2819,,,,CMV,,,Yes
,5MT282,,,,,,5MT282,,,,CMV,,,Yes
,5MT2822,,,,,,5MT2822,,,,CMV,,,Yes
,5MT2824,,,,,,5MT2824,,,,CMV,,,Yes
,5MT2825,,,,,,5MT2825,,,,CMV,,,Yes
,5MT2827,,,,,,5MT2827,,,,CMV,,,Yes
,5MT283,,,,,,5MT283,,,,CMV,,,Yes
,5MT2833,,,,,,5MT2833,,,,CMV,,,Yes
,5MT2834,,,,,,5MT2834,,,,CMV,,,Yes
,5MT2839,,,,,,5MT2839,,,,CMV,,,Yes
,5MT2842,,,,,,5MT2842,,,,CMV,,,Yes
,5MT2855,,,,,,5MT2855,,,,CMV,,,Yes
,5MT2856,,,,,,5MT2856,,,,CMV,,,Yes
,5MT286,,,,,,5MT286,,,,CMV,,,Yes
,5MT2862,,,,,,5MT2862,,,,CMV,,,Yes
,5MT2866,,,,,,5MT2866,,,,CMV,,,Yes
,5MT2867,,,,,,5MT2867,,,,CMV,,,Yes
,5MT2870,,,,,,5MT2870,,,,CMV,,,Yes
,5MT2872,,,,,,5MT2872,,,,CMV,,,Yes
,5MT2874,,,,,,5MT2874,,,,CMV,,,Yes
,5MT2878,,,,,,5MT2878,,,,CMV,,,Yes
,5MT288,,,,,,5MT288,,,,CMV,,,Yes
,5MT2880,,,,,,5MT2880,,,,CMV,,,Yes
,5MT2883,,,,,,5MT2883,,,,CMV,,,Yes
,5MT3017,,,,,,5MT3017,,,,CMV,,,Yes
,5MT3018,,,,,,5MT3018,,,,CMV,,,Yes
,5MT3019,,,,,,5MT3019,,,,CMV,,,Yes
,5MT302,,,,,,5MT302,,,,CMV,,,Yes
,5MT3021,,,,,,5MT3021,,,,CMV,,,Yes
,5MT3022,,,,,,5MT3022,,,,CMV,,,Yes
,5MT3024,,,,,,5MT3024,,,,CMV,,,Yes
,5MT3028,,,,,,5MT3028,,,,CMV,,,Yes
,5MT3032,,,,,,5MT3032,,,,CMV,,,Yes
,5MT3037,,,,,,5MT3037,,,,CMV,,,Yes
,5MT3039,,,,,,5MT3039,,,,CMV,,,Yes
,5MT3046,,,,,,5MT3046,,,,CMV,,,Yes
,5MT3047,,,,,,5MT3047,,,,CMV,,,Yes
,5MT3048,,,,,,5MT3048,,,,CMV,,,Yes
,5MT3049,,,,,,5MT3049,,,,CMV,,,Yes
,5MT305,,,,,,5MT305,,,,CMV,,,Yes
,5MT3050,,,,,,5MT3050,,,,CMV,,,Yes
,5MT3053,,,,,,5MT3053,,,,CMV,,,Yes
,5MT3054,,,,,,5MT3054,,,,CMV,,,Yes
,5MT3055,,,,,,5MT3055,,,,CMV,,,Yes
,5MT3059,,,,,,5MT3059,,,,CMV,,,Yes
,5MT306,,,,,,5MT306,,,,CMV,,,Yes
,5MT3060,,,,,,5MT3060,,,,CMV,,,Yes
,5MT3062,,,,,,5MT3062,,,,CMV,,,Yes
,5MT3064,,,,,,5MT3064,,,,CMV,,,Yes
,5MT3065,,,,,,5MT3065,,,,CMV,,,Yes
,5MT3066,,,,,,5MT3066,,,,CMV,,,Yes
,5MT3071,,,,,,5MT3071,,,,CMV,,,Yes
,5MT3072,,,,,,5MT3072,,,,CMV,,,Yes
,5MT3073,,,,,,5MT3073,,,,CMV,,,Yes
,5MT3078,,,,,,5MT3078,,,,CMV,,,Yes
,5MT3082,,,,,,5MT3082,,,,CMV,,,Yes
,5MT3083,,,,,,5MT3083,,,,CMV,,,Yes
,5MT3085,,,,,,5MT3085,,,,CMV,,,Yes
,5MT309,,,,,,5MT309,,,,CMV,,,Yes
,5MT3090,,,,,,5MT3090,,,,CMV,,,Yes
,5MT3100,,,,,,5MT3100,,,,CMV,,,Yes
,5MT3101,,,,,,5MT3101,,,,CMV,,,Yes
,5MT3103,,,,,,5MT3103,,,,CMV,,,Yes
,5MT3104,,,,,,5MT3104,,,,CMV,,,Yes
,5MT3105,,,,,,5MT3105,,,,CMV,,,Yes
,5MT3106,,,,,,5MT3106,,,,CMV,,,Yes
,5MT3108,,,,,,5MT3108,,,,CMV,,,Yes
,5MT3110,,,,,,5MT3110,,,,CMV,,,Yes
,5MT3112,,,,,,5MT3112,,,,CMV,,,Yes
,5MT3113,,,,,,5MT3113,,,,CMV,,,Yes
,5MT3117,,,,,,5MT3117,,,,CMV,,,Yes
,5MT3123,,,,,,5MT3123,,,,CMV,,,Yes
,5MT313,,,,,,5MT313,,,,CMV,,,Yes
,5MT3130,,,,,,5MT3130,,,,CMV,,,Yes
,5MT3132,,,,,,5MT3132,,,,CMV,,,Yes
,5MT3133,,,,,,5MT3133,,,,CMV,,,Yes
,5MT3134,,,,,,5MT3134,,,,CMV,,,Yes
,5MT3135,,,,,,5MT3135,,,,CMV,,,Yes
,5MT3136,,,,,,5MT3136,,,,CMV,,,Yes
,5MT3142,,,,,,5MT3142,,,,CMV,,,Yes
,5MT3145,,,,,,5MT3145,,,,CMV,,,Yes
,5MT3146,,,,,,5MT3146,,,,CMV,,,Yes
,5MT3154,,,,,,5MT3154,,,,CMV,,,Yes
,5MT3155,,,,,,5MT3155,,,,CMV,,,Yes
,5MT3157,,,,,,5MT3157,,,,CMV,,,Yes
,5MT3159,,,,,,5MT3159,,,,CMV,,,Yes
,5MT3160,,,,,,5MT3160,,,,CMV,,,Yes
,5MT3163,,,,,,5MT3163,,,,CMV,,,Yes
,5MT3165,,,,,,5MT3165,,,,CMV,,,Yes
,5MT3166,,,,,,5MT3166,,,,CMV,,,Yes
,5MT3170,,,,,,5MT3170,,,,CMV,,,Yes
,5MT3172,,,,,,5MT3172,,,,CMV,,,Yes
,5MT3173,,,,,,5MT3173,,,,CMV,,,Yes
,5MT3174,,,,,,5MT3174,,,,CMV,,,Yes
,5MT3175,,,,,,5MT3175,,,,CMV,,,Yes
,5MT3176,,,,,,5MT3176,,,,CMV,,,Yes
,5MT3177,,,,,,5MT3177,,,,CMV,,,Yes
,5MT3178,,,,,,5MT3178,,,,CMV,,,Yes
,5MT3179,,,,,,5MT3179,,,,CMV,,,Yes
,5MT3180,,,,,,5MT3180,,,,CMV,,,Yes
,5MT3181,,,,,,5MT3181,,,,CMV,,,Yes
,5MT3183,,,,,,5MT3183,,,,CMV,,,Yes
,5MT3185,,,,,,5MT3185,,,,CMV,,,Yes
,5MT3187,,,,,,5MT3187,,,,CMV,,,Yes
,5MT3188,,,,,,5MT3188,,,,CMV,,,Yes
,5MT3191,,,,,,5MT3191,,,,CMV,,,Yes
,5MT3192,,,,,,5MT3192,,,,CMV,,,Yes
,5MT3193,,,,,,5MT3193,,,,CMV,,,Yes
,5MT3194,,,,,,5MT3194,,,,CMV,,,Yes
,5MT3195,,,,,,5MT3195,,,,CMV,,,Yes
,5MT3196,,,,,,5MT3196,,,,CMV,,,Yes
,5MT3197,,,,,,5MT3197,,,,CMV,,,Yes
,5MT3198,,,,,,5MT3198,,,,CMV,,,Yes
,5MT3209,,,,,,5MT3209,,,,CMV,,,Yes
,5MT321,,,,,,5MT321,,,,CMV,,,Yes
,5MT3212,,,,,,5MT3212,,,,CMV,,,Yes
,5MT3213,,,,,,5MT3213,,,,CMV,,,Yes
,5MT3214,,,,,,5MT3214,,,,CMV,,,Yes
,5MT3215,,,,,,5MT3215,,,,CMV,,,Yes
,5MT3216,,,,,,5MT3216,,,,CMV,,,Yes
,5MT3218,,,,,,5MT3218,,,,CMV,,,Yes
,5MT3219,,,,,,5MT3219,,,,CMV,,,Yes
,5MT3221,,,,,,5MT3221,,,,CMV,,,Yes
,5MT3224,,,,,,5MT3224,,,,CMV,,,Yes
,5MT3226,,,,,,5MT3226,,,,CMV,,,Yes
,5MT323,,,,,,5MT323,,,,CMV,,,Yes
,5MT3231,,,,,,5MT3231,,,,CMV,,,Yes
,5MT3233,,,,,,5MT3233,,,,CMV,,,Yes
,5MT3234,,,,,,5MT3234,,,,CMV,,,Yes
,5MT3235,,,,,,5MT3235,,,,CMV,,,Yes
,5MT3238,,,,,,5MT3238,,,,CMV,,,Yes
,5MT3240,,,,,,5MT3240,,,,CMV,,,Yes
,5MT3241,,,,,,5MT3241,,,,CMV,,,Yes
,5MT3242,,,,,,5MT3242,,,,CMV,,,Yes
,5MT3243,,,,,,5MT3243,,,,CMV,,,Yes
,5MT3244,,,,,,5MT3244,,,,CMV,,,Yes
,5MT3255,,,,,,5MT3255,,,,CMV,,,Yes
,5MT3257,,,,,,5MT3257,,,,CMV,,,Yes
,5MT3260,,,,,,5MT3260,,,,CMV,,,Yes
,5MT3262,,,,,,5MT3262,,,,CMV,,,Yes
,5MT3263,,,,,,5MT3263,,,,CMV,,,Yes
,5MT3264,,,,,,5MT3264,,,,CMV,,,Yes
,5MT3266,,,,,,5MT3266,,,,CMV,,,Yes
,5MT3267,,,,,,5MT3267,,,,CMV,,,Yes
,5MT3268,,,,,,5MT3268,,,,CMV,,,Yes
,5MT3271,,,,,,5MT3271,,,,CMV,,,Yes
,5MT3272,,,,,,5MT3272,,,,CMV,,,Yes
,5MT3273,,,,,,5MT3273,,,,CMV,,,Yes
,5MT3275,,,,,,5MT3275,,,,CMV,,,Yes
,5MT3276,,,,,,5MT3276,,,,CMV,,,Yes
,5MT3278,,,,,,5MT3278,,,,CMV,,,Yes
,5MT3279,,,,,,5MT3279,,,,CMV,,,Yes
,5MT3280,,,,,,5MT3280,,,,CMV,,,Yes
,5MT3282,,,,,,5MT3282,,,,CMV,,,Yes
,5MT3283,,,,,,5MT3283,,,,CMV,,,Yes
,5MT3285,,,,,,5MT3285,,,,CMV,,,Yes
,5MT3286,,,,,,5MT3286,,,,CMV,,,Yes
,5MT3287,,,,,,5MT3287,,,,CMV,,,Yes
,5MT3288,,,,,,5MT3288,,,,CMV,,,Yes
,5MT3289,,,,,,5MT3289,,,,CMV,,,Yes
,5MT3291,,,,,,5MT3291,,,,CMV,,,Yes
,5MT3292,,,,,,5MT3292,,,,CMV,,,Yes
,5MT3294,,,,,,5MT3294,,,,CMV,,,Yes
,5MT3296,,,,,,5MT3296,,,,CMV,,,Yes
,5MT3297,,,,,,5MT3297,,,,CMV,,,Yes
,5MT3298,,,,,,5MT3298,,,,CMV,,,Yes
,5MT3300,,,,,,5MT3300,,,,CMV,,,Yes
,5MT3302,,,,,,5MT3302,,,,CMV,,,Yes
,5MT3303,,,,,,5MT3303,,,,CMV,,,Yes
,5MT3304,,,,,,5MT3304,,,,CMV,,,Yes
,5MT3305,,,,,,5MT3305,,,,CMV,,,Yes
,5MT3307,,,,,,5MT3307,,,,CMV,,,Yes
,5MT3308,,,,,,5MT3308,,,,CMV,,,Yes
,5MT3309,,,,,,5MT3309,,,,CMV,,,Yes
,5MT3310,,,,,,5MT3310,,,,CMV,,,Yes
,5MT3311,,,,,,5MT3311,,,,CMV,,,Yes
,5MT3313,,,,,,5MT3313,,,,CMV,,,Yes
,5MT3314,,,,,,5MT3314,,,,CMV,,,Yes
,5MT3315,,,,,,5MT3315,,,,CMV,,,Yes
,5MT3318,,,,,,5MT3318,,,,CMV,,,Yes
,5MT3319,,,,,,5MT3319,,,,CMV,,,Yes
,5MT3320,,,,,,5MT3320,,,,CMV,,,Yes
,5MT3321,,,,,,5MT3321,,,,CMV,,,Yes
,5MT3322,,,,,,5MT3322,,,,CMV,,,Yes
,5MT3325,,,,,,5MT3325,,,,CMV,,,Yes
,5MT352,,,,,,5MT352,,,,CMV,,,Yes
,5MT353,,,,,,5MT353,,,,CMV,,,Yes
,5MT355,,,,,,5MT355,,,,CMV,,,Yes
,5MT358,,,,,,5MT358,,,,CMV,,,Yes
,5MT359,,,,,,5MT359,,,,CMV,,,Yes
,5MT36,,,,,,5MT36,,,,CMV,,,Yes
,5MT365,,,,,,5MT365,,,,CMV,,,Yes
,5MT366,,,,,,5MT366,,,,CMV,,,Yes
,5MT3691,,,,,,5MT3691,,,,CMV,,,Yes
,5MT3694,,,,,,5MT3694,,,,CMV,,,Yes
,5MT3697,,,,,,5MT3697,,,,CMV,,,Yes
,5MT3698,,,,,,5MT3698,,,,CMV,,,Yes
,5MT3721,,,,,,5MT3721,,,,CMV,,,Yes
,5MT3724,,,,,,5MT3724,,,,CMV,,,Yes
,5MT374,,,,,,5MT374,,,,CMV,,,Yes
,5MT3741,,,,,,5MT3741,,,,CMV,,,Yes
,5MT3742,,,,,,5MT3742,,,,CMV,,,Yes
,5MT3747,,,,,,5MT3747,,,,CMV,,,Yes
,5MT375,,,,,,5MT375,,,,CMV,,,Yes
,5MT3754,,,,,,5MT3754,,,,CMV,,,Yes
,5MT3758,,,,,,5MT3758,,,,CMV,,,Yes
,5MT376,,,,,,5MT376,,,,CMV,,,Yes
,5MT3761,,,,,,5MT3761,,,,CMV,,,Yes
,5MT3770,,,,,,5MT3770,,,,CMV,,,Yes
,5MT3771,,,,,,5MT3771,,,,CMV,,,Yes
,5MT3772,,,,,,5MT3772,,,,CMV,,,Yes
,5MT3787,,,,,,5MT3787,,,,CMV,,,Yes
,5MT3788,,,,,,5MT3788,,,,CMV,,,Yes
,5MT379,,,,,,5MT379,,,,CMV,,,Yes
,5MT3800,,,,,,5MT3800,,,,CMV,,,Yes
,5MT381,,,,,,5MT381,,,,CMV,,,Yes
,5MT3824,,,,,,5MT3824,,,,CMV,,,Yes
,5MT3825,,,,,,5MT3825,,,,CMV,,,Yes
,5MT3826,,,,,,5MT3826,,,,CMV,,,Yes
,5MT3827,,,,,,5MT3827,,,,CMV,,,Yes
,5MT3828,,,,,,5MT3828,,,,CMV,,,Yes
,5MT383,,,,,,5MT383,,,,CMV,,,Yes
,5MT385,,,,,,5MT385,,,,CMV,,,Yes
,5MT3869,,,,,,5MT3869,,,,CMV,,,Yes
,5MT3870,,,,,,5MT3870,,,,CMV,,,Yes
,5MT3872,,,,,,5MT3872,,,,CMV,,,Yes
,5MT3878,,,,,,5MT3878,,,,CMV,,,Yes
,5MT388,,,,,,5MT388,,,,CMV,,,Yes
,5MT3881,,,,,,5MT3881,,,,CMV,,,Yes
,5MT3885,,,,,,5MT3885,,,,CMV,,,Yes
,5MT3886,,,,,,5MT3886,,,,CMV,,,Yes
,5MT3889,,,,,,5MT3889,,,,CMV,,,Yes
,5MT389,,,,,,5MT389,,,,CMV,,,Yes
,5MT3900,,,,,,5MT3900,,,,CMV,,,Yes
,5MT3907,,,,,,5MT3907,,,,CMV,,,Yes
,5MT391,,,,,,5MT391,,,,CMV,,,Yes
,5MT393,,,,,,5MT393,,,,CMV,,,Yes
,5MT394,,,,,,5MT394,,,,CMV,,,Yes
,5MT395,,,,,,5MT395,,,,CMV,,,Yes
,5MT3954,,,,,,5MT3954,,,,CMV,,,Yes
,5MT396,,,,,,5MT396,,,,CMV,,,Yes
,5MT3966,,,,,,5MT3966,,,,CMV,,,Yes
,5MT398,,,,,,5MT398,,,,CMV,,,Yes
,5MT3980,,,,,,5MT3980,,,,CMV,,,Yes
,5MT3981,,,,,,5MT3981,,,,CMV,,,Yes
,5MT3983,,,,,,5MT3983,,,,CMV,,,Yes
,5MT3985,,,,,,5MT3985,,,,CMV,,,Yes
,5MT3987,,,,,,5MT3987,,,,CMV,,,Yes
,5MT399,,,,,,5MT399,,,,CMV,,,Yes
,5MT3992,,,,,,5MT3992,,,,CMV,,,Yes
,5MT3993,,,,,,5MT3993,,,,CMV,,,Yes
,5MT3995,,,,,,5MT3995,,,,CMV,,,Yes
,5MT3997,,,,,,5MT3997,,,,CMV,,,Yes
,5MT3999,,,,,,5MT3999,,,,CMV,,,Yes
,5MT4,,,,,,5MT4,,,,CMV,,,Yes
,5MT400,,,,,,5MT400,,,,CMV,,,Yes
,5MT4008,,,,,,5MT4008,,,,CMV,,,Yes
,5MT402,,,,,,5MT402,,,,CMV,,,Yes
,5MT403,,,,,,5MT403,,,,CMV,,,Yes
