VEP_Site_Name,VEP_Trinomial,VEP_LA_number,Boc_Site_Name,Boc_Site_Number,Boc_SiteID,Canon_Site_Name,Canon_Trinomial,Canon_LA_Number,Canon_SiteID,Aliases,Study Area,GIVE UP!,Comment,Canon Complete?
GILA PUEBLO 113; PITHOUSE C,5MV283,,Mesa Verde Pithouse C,,198,Pithouse C,5MV283,,198,Gila Pueblo 113,CMV,,,Yes
PIPELINE PITHOUSE;PITHOUSE NO.1; GILA PUEBLO 140,5MV405,,Mesa Verde Pit Structure No. 1,5MV405,199,Pipeline Pithouse,5MV405,,199,Pithouse 1; Gila Pueblo 140,CMV,,,Yes
,,,Mesa Verde Pit Structure No. 2,,200,,5MV354,,,Gila Pueblo 153; Twin Trees D-Shape Pit Structures; Mesa Verde Pit Structure No. 2,CMV,,,Yes
,,,Pool Canyon Site 3,,201,Pool Canyon Site 3,,,201,,CMV,,,Yes
,,,Pool Canyon Site 4,,202,Pool Canyon Site 4,,,202,,CMV,,,Yes
,,,Pool Canyon Site 5,,203,Pool Canyon Site 5,,,203,,CMV,,,Yes
RUIN 11 (NORDENSKIOLD),5MV1325,,Mesa Verde 11 (Nordenskiold),5MV1325,204,,5MV1325,,204,Nordenskiold 11,CMV,,,Yes
,,,Mesa Verde 12(Nordenskiold),,205,,,,205,Nordenskiold 12,CMV,,,Yes
,5MV3808,,School Section Canyon Site,5MV3808,208,School Section Canyon Site,5MV3808,,208,,CMV,,,Yes
Morefield Community;MOREFIELD GREAT KIVA,5MV1067,,Mesa Verde 1067(Nps),,209,Morefield Great Kiva,5MV1067,,209,Morefield Community,CMV,,,Yes
Morefield Community,5MV1927,,Mesa Verde 1927(Nps),,210,,5MV1927,,210,Morefield Community,CMV,,,Yes
Morefield Community,5MV1928,,Mesa Verde 1928(Nps),,211,,5MV1928,,211,Morefield Community,CMV,,,Yes
Morefield Community,5MV1929,,Mesa Verde 1929(Nps),,212,,5MV1929,,212,Morefield Community,CMV,,,Yes
Morefield Community,5MV1930,,Mesa Verde 1930(Nps),,213,,5MV1930,,213,Morefield Community,CMV,,,Yes
,,,Morfield Canyon Group Mesa Site 1930,,826,,5MV1930,,,Morefield Community,CMV,,,Yes
GILA PUEBLO 16~POST AND ADOBE VILLAGE~UNIT PUEBLO NO.1~UNIT PUEBLO NO.2,5MV16,,Mesa Verde 16(Gp),,214,Post and Adobe Village,5MV16,,,Gila Pueblo 16,CMV,,,Yes
"GILA PUEBLO 49, FIRST VILLAGE~LISTER SITE NO. 2",5MV499,,Mesa Verde 499(Nps),,216,,5MV499,,216,"Gila Pueblo 49, First Village; Lister Site 2",CMV,,,Yes
SLAB HOUSE TEST,5MV58,,Slab House,,217,Slab House,5MV58,,217,,CMV,,,Yes
,,,Soda Canyon Compound,,218,Soda Canyon Pueblo,5MV34,,,34-Plex; Gila Pueblo 34; Soda Canyon Campground; Soda Canyon Compound; O'Bryan 34,CMV,,,Yes
